初始化神经网络...
生成训练数据点...
开始训练神经网络...
开始优化...
Iter: 1, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222580e-01, BC: 2.403950e-01)
迭代 0: 初始损失 = 1.023433e+04
Iter: 100, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222583e-01, BC: 2.403955e-01)
Iter: 200, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403944e-01)
Iter: 300, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403948e-01)
Iter: 400, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222580e-01, BC: 2.403950e-01)
Iter: 500, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222582e-01, BC: 2.403960e-01)
Iter: 600, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222574e-01, BC: 2.403928e-01)
Iter: 700, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222580e-01, BC: 2.403950e-01)
Iter: 800, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222580e-01, BC: 2.403948e-01)
Iter: 900, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222583e-01, BC: 2.403960e-01)
Iter: 1000, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222582e-01, BC: 2.403953e-01)
Iter: 1100, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222580e-01, BC: 2.403954e-01)
Iter: 1200, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222576e-01, BC: 2.403936e-01)
Iter: 1300, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222581e-01, BC: 2.403952e-01)
Iter: 1400, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222584e-01, BC: 2.403969e-01)
Iter: 1500, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222580e-01, BC: 2.403950e-01)
Iter: 1600, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403949e-01)
Iter: 1700, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222581e-01, BC: 2.403953e-01)
Iter: 1800, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222583e-01, BC: 2.403963e-01)
Iter: 1900, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222582e-01, BC: 2.403953e-01)
Iter: 2000, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222581e-01, BC: 2.403954e-01)
Iter: 2100, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222578e-01, BC: 2.403944e-01)
Iter: 2200, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403949e-01)
Iter: 2300, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222584e-01, BC: 2.403973e-01)
Iter: 2400, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403948e-01)
Iter: 2500, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403949e-01)
Iter: 2600, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403944e-01)
Iter: 2700, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222583e-01, BC: 2.403961e-01)
Iter: 2800, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222578e-01, BC: 2.403948e-01)
Iter: 2900, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222581e-01, BC: 2.403956e-01)
Iter: 3000, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222581e-01, BC: 2.403954e-01)
Iter: 3100, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403949e-01)
Iter: 3200, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222581e-01, BC: 2.403953e-01)
Iter: 3300, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222582e-01, BC: 2.403956e-01)
Iter: 3400, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222581e-01, BC: 2.403954e-01)
Iter: 3500, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222578e-01, BC: 2.403947e-01)
Iter: 3600, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222577e-01, BC: 2.403942e-01)
Iter: 3700, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222578e-01, BC: 2.403946e-01)
Iter: 3800, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222577e-01, BC: 2.403942e-01)
Iter: 3900, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403948e-01)
Iter: 4000, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403948e-01)
Iter: 4100, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222576e-01, BC: 2.403938e-01)
Iter: 4200, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222578e-01, BC: 2.403946e-01)
Iter: 4300, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222582e-01, BC: 2.403956e-01)
Iter: 4400, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222582e-01, BC: 2.403956e-01)
Iter: 4500, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222577e-01, BC: 2.403941e-01)
Iter: 4600, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222582e-01, BC: 2.403956e-01)
Iter: 4700, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222581e-01, BC: 2.403954e-01)
Iter: 4800, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222583e-01, BC: 2.403959e-01)
Iter: 4900, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222582e-01, BC: 2.403956e-01)
Iter: 5000, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403948e-01)
Iter: 5100, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222576e-01, BC: 2.403940e-01)
Iter: 5200, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222578e-01, BC: 2.403946e-01)
Iter: 5300, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403948e-01)
Iter: 5400, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222580e-01, BC: 2.403950e-01)
Iter: 5500, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222580e-01, BC: 2.403951e-01)
Iter: 5600, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403946e-01)
Iter: 5700, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403948e-01)
Iter: 5800, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222581e-01, BC: 2.403953e-01)
Iter: 5900, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222583e-01, BC: 2.403958e-01)
Iter: 6000, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403947e-01)
Iter: 6100, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222579e-01, BC: 2.403947e-01)
Iter: 6200, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222580e-01, BC: 2.403952e-01)
Iter: 6300, Loss: 1.023434e+04 (PDE: 1.019807e+04, IC: 1.222608e-01, BC: 2.403987e-01)
Iter: 6400, Loss: 1.023433e+04 (PDE: 1.019807e+04, IC: 1.222592e-01, BC: 2.403979e-01)
Iter: 6500, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216107e-01, BC: 2.390427e-01)
Iter: 6600, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216115e-01, BC: 2.390423e-01)
Iter: 6700, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216113e-01, BC: 2.390421e-01)
Iter: 6800, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216113e-01, BC: 2.390421e-01)
Iter: 6900, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216109e-01, BC: 2.390415e-01)
Iter: 7000, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216114e-01, BC: 2.390424e-01)
Iter: 7100, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216113e-01, BC: 2.390420e-01)
Iter: 7200, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216113e-01, BC: 2.390421e-01)
Iter: 7300, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390418e-01)
Iter: 7400, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216123e-01, BC: 2.390423e-01)
